name,domains,aliases,categories
VinSolutions,vinsolutions.com,Vin Solutions|VinSolutions Inc.,crm|dms
DealerSocket,dealersocket.com,Dealer Socket|DealerSocket Inc.,crm|dms|inventory
Elead,eleadcrm.com|eleadonline.com,Elead CRM|Elead 1ONE|eLead,crm|lead_provider
CDK Global,cdkglobal.com|cdk.com,CDK|CDK Automotive,dms|website_provider
Reynolds and Reynolds,reyrey.com|rrdealercomp.com,R&R|Reynolds & Reynolds,dms|crm
Cox Automotive,coxautomotive.com,Cox Auto,lead_provider|marketing_agency
AutoTrader,autotrader.com|trader.com,Auto Trader,lead_provider
Cars.com,cars.com|cars.net,Cars,lead_provider
Edmunds,edmunds.com,Edmunds.com,lead_provider
Dealer.com,dealer.com,Dealer dot com,website_provider|marketing_agency
Dealer Inspire,dealerinspire.com,DI,website_provider|marketing_agency
DealerOn,dealeron.com,Dealer On,website_provider|marketing_agency
Foureyes,foureyes.io,4Eyes,marketing_agency|analytics
Conversica,conversica.com,Conversica AI,marketing_agency|ai_assistant
Outsell,outsell.com,Outsell Inc.,marketing_agency|crm
ActivEngage,activengage.com,Active Engage,marketing_agency|chat
Gubagoo,gubagoo.com,Guba Goo,marketing_agency|chat
FrogData,frogdata.com,Frog Data,analytics|marketing_agency
Helio,heliomktg.com|helio.com,Helio Marketing,marketing_agency|paid_search
Digital Air Strike,digitalairstrike.com,DAS,marketing_agency|social
